name,category,units,grams_per_unit,dietary_requirements
"Alfalfa sprouts, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Allspice, ground",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Almonds, whole kernels",Nut,grams,1,Gluten free;Vegan;Vegetarian
"Apples, eating, raw, flesh and skin, weighed with core",Fruit,whole,200,Gluten free;Vegan;Vegetarian
"Artichoke, globe, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Asafoetida",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Asparagus, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Aubergine, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Avocado, Hass, flesh only",Fruit,whole,150,Gluten free;Vegan;Vegetarian
"Bananas, flesh only",Fruit,whole,120,Gluten free;Vegan;Vegetarian
"Basil, dried, ground",Herb,grams,1,Gluten free;Vegan;Vegetarian
"Basil, fresh",Herb,grams,1,Gluten free;Vegan;Vegetarian
"Bay leaf, dried",Herb,grams,1,Gluten free;Vegan;Vegetarian
"Beansprouts, mung, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Beetroot, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Blackberries, raw",Fruit,grams,1,Gluten free;Vegan;Vegetarian
"Blackcurrants, raw",Fruit,grams,1,Gluten free;Vegan;Vegetarian
"Brazil nuts, kernel only",Nut,grams,1,Gluten free;Vegan;Vegetarian
"Broccoli, green, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Broccoli, purple sprouting, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Brussels sprouts, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cabbage, green, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cabbage, red, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cabbage, white, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Caraway seeds",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Carrots, young, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cashew nuts, kernel only, plain",Nut,grams,1,Gluten free;Vegan;Vegetarian
"Cauliflower, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Celeriac, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Celery, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Chard, Swiss, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cherries, flesh and skin, raw",Fruit,grams,1,Gluten free;Vegan;Vegetarian
"Chilli powder",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Chinese 5 spice",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Chives, fresh",Herb,grams,1,Gluten free;Vegan;Vegetarian
"Cinnamon, ground",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Citrus fruit, soft/easy peelers, flesh only",Fruit,grams,1,Gluten free;Vegan;Vegetarian
"Cloves, dried",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Coconut, flesh only, fresh",Fruit,grams,1,Gluten free;Vegan;Vegetarian
"Coriander leaves, fresh",Herb,grams,1,Gluten free;Vegan;Vegetarian
"Coriander seeds",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Courgette, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cucumber, raw, flesh and skin",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Cumin seeds",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Curly kale, raw",Vegetable,grams,1,Gluten free;Vegan;Vegetarian
"Curry leaves, fresh",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Curry powder",Spice,grams,1,Gluten free;Vegan;Vegetarian
"Dates, dried, flesh and skin",Fruit,grams,1,Gluten free;Vegan;Vegetarian
