ingredient,nutrient,quantity_per_gram,units
"Alfalfa sprouts, raw",Protein,0.04,GRAMS
"Alfalfa sprouts, raw",Fat,0.007,GRAMS
"Alfalfa sprouts, raw",Carbohydrate,0.004,GRAMS
"Alfalfa sprouts, raw",kcal,0.24,KCAL
"Alfalfa sprouts, raw",Sugars,0.003,GRAMS
"Alfalfa sprouts, raw",Fibre,0,GRAMS
"Alfalfa sprouts, raw",Fatty acids,0.007,GRAMS
"Alfalfa sprouts, raw",Saturated fat,0,GRAMS
"Alfalfa sprouts, raw",Trans fat,0,GRAMS
"Alfalfa sprouts, raw",Sodium,0.06,GRAMS
"Alfalfa sprouts, raw",Potassium,0.79,GRAMS
"Alfalfa sprouts, raw",Calcium,0.32,GRAMS
"Alfalfa sprouts, raw",Magnesium,0.27,GRAMS
"Alfalfa sprouts, raw",Phosphorus,0.7,GRAMS
"Alfalfa sprouts, raw",Iron,0.01,GRAMS
"Alfalfa sprouts, raw",Zinc,0.009,GRAMS
"Alfalfa sprouts, raw",Selenium,0,GRAMS
"Alfalfa sprouts, raw",Iodine,0,GRAMS
"Alfalfa sprouts, raw",Vitamin D,0,GRAMS
"Alfalfa sprouts, raw",Vitamin E,0,GRAMS
"Alfalfa sprouts, raw",Vitamin K1,0,GRAMS
"Alfalfa sprouts, raw",Vitamin B1,0,GRAMS
"Alfalfa sprouts, raw",Vitamin B2,0.001,GRAMS
"Alfalfa sprouts, raw",Vitamin B3,0.005,GRAMS
"Alfalfa sprouts, raw",Vitamin B6,0,GRAMS
"Alfalfa sprouts, raw",Vitamin B12,0,GRAMS
"Alfalfa sprouts, raw",Vitamin B9,0.36,GRAMS
"Alfalfa sprouts, raw",Vitamin B5,0.006,GRAMS
"Alfalfa sprouts, raw",Vitamin B7,0,GRAMS
"Alfalfa sprouts, raw",Vitamin C,0.02,GRAMS
"Allspice, ground",Protein,0.061,GRAMS
"Allspice, ground",Fat,0.087,GRAMS
"Allspice, ground",Carbohydrate,0,GRAMS
"Allspice, ground",kcal,0,KCAL
"Allspice, ground",Sugars,0,GRAMS
"Allspice, ground",Fibre,0,GRAMS
"Allspice, ground",Fatty acids,0.087,GRAMS
"Allspice, ground",Saturated fat,0.025,GRAMS
"Allspice, ground",Trans fat,0,GRAMS
"Allspice, ground",Sodium,0.77,GRAMS
"Allspice, ground",Potassium,10.4,GRAMS
"Allspice, ground",Calcium,6.6,GRAMS
"Allspice, ground",Magnesium,1.3,GRAMS
"Allspice, ground",Phosphorus,1.1,GRAMS
"Allspice, ground",Iron,0.071,GRAMS
"Allspice, ground",Zinc,0.01,GRAMS
"Allspice, ground",Selenium,0,GRAMS
"Allspice, ground",Iodine,0,GRAMS
"Allspice, ground",Vitamin D,0,GRAMS
"Allspice, ground",Vitamin E,0,GRAMS
"Allspice, ground",Vitamin K1,0,GRAMS
"Allspice, ground",Vitamin B1,0.001,GRAMS
"Allspice, ground",Vitamin B2,0.001,GRAMS
"Allspice, ground",Vitamin B3,0.029,GRAMS
"Allspice, ground",Vitamin B6,0,GRAMS
"Allspice, ground",Vitamin B12,0,GRAMS
"Allspice, ground",Vitamin B9,0,GRAMS
"Allspice, ground",Vitamin B5,0,GRAMS
"Allspice, ground",Vitamin B7,0,GRAMS
"Allspice, ground",Vitamin C,0,GRAMS
"Almonds, whole kernels",Protein,0.212,GRAMS
"Almonds, whole kernels",Fat,0.499,GRAMS
"Almonds, whole kernels",Carbohydrate,0.053,GRAMS
"Almonds, whole kernels",kcal,5.54,KCAL
"Almonds, whole kernels",Sugars,0.045,GRAMS
"Almonds, whole kernels",Fibre,0.125,GRAMS
"Almonds, whole kernels",Fatty acids,0.499,GRAMS
"Almonds, whole kernels",Saturated fat,0.038,GRAMS
"Almonds, whole kernels",Trans fat,0,GRAMS
"Almonds, whole kernels",Sodium,0.01,GRAMS
"Almonds, whole kernels",Potassium,7.33,GRAMS
"Almonds, whole kernels",Calcium,2.69,GRAMS
"Almonds, whole kernels",Magnesium,2.7,GRAMS
"Almonds, whole kernels",Phosphorus,4.81,GRAMS
"Almonds, whole kernels",Iron,0.037,GRAMS
"Almonds, whole kernels",Zinc,0.031,GRAMS
"Almonds, whole kernels",Selenium,0.04,GRAMS
"Almonds, whole kernels",Iodine,0.02,GRAMS
"Almonds, whole kernels",Vitamin D,0,GRAMS
"Almonds, whole kernels",Vitamin E,0.256,GRAMS
"Almonds, whole kernels",Vitamin K1,0,GRAMS
"Almonds, whole kernels",Vitamin B1,0.002,GRAMS
"Almonds, whole kernels",Vitamin B2,0.011,GRAMS
"Almonds, whole kernels",Vitamin B3,0.036,GRAMS
"Almonds, whole kernels",Vitamin B6,0.001,GRAMS
